group	CADD_splice	spliceAI	MMsplicing_abs	Trap	dbscSNV_ADA_SCORE	dbscSNV_RF_SCORE	SPIDEX_dpsi_abs	SPIDEX_zscore_abs	maxscant_diff_abs
1	35.0	0.83	2.589566761029613	0.8590000000000001	1.0	1.0	1.3588	1.655	3.879999999999999
1	22.7	0.4	4.031364113882689	0.995	0.9998	0.988	6.6156	2.67	4.73
1	35.0	0.66	2.3584423596786097	0.955	0.9999	0.922	0.7095	1.2770000000000001	3.16
1	36.0	0.98	3.3625972609192942	0.966	1.0	1.0	3.3059	2.222	6.18
1	27.9	0.87	3.7017418576774714	0.956	0.9998	0.988	6.0875	2.6260000000000003	4.449999999999998
1	23.8	0.7	1.8048381736022792	0.9690000000000001	0.3791	0.37	2.7792	2.104	1.2599999999999998
1	36.0	0.85	4.268929846512614	0.948	1.0	1.0	7.8853	2.7769999999999997	9.3
1	22.3	0.73	3.5635071256492097	0.99	0.9998	0.968	11.9022	2.988	9.29
1	35.0	0.84	1.7395600057005771	0.935	1.0	1.0	5.8041	2.591	3.5900000000000003
1	22.5	0.61	2.470371456894941	0.998	0.9978	0.9279999999999999	2.4517	2.029	4.69
1	35.0	0.77	2.0418289640001483	0.929	1.0	0.998	6.8378	2.688	5.380000000000001
1	34.0	0.82	3.0561592404626334	0.9109999999999999	1.0	0.9940000000000001	1.942	1.881	4.22
1	34.0	0.93	4.2005977180728635	0.938	1.0	0.998	0.8051	1.347	8.64
1	35.0	0.81	2.4426037799188016	0.823	1.0	1.0	6.91	2.696	6.02
1	35.0	0.89	2.1608568764938743	0.8270000000000001	1.0	0.986	3.694	2.292	4.2200000000000015
1	34.0	0.94	2.47214840480242	0.7140000000000001	1.0	1.0	6.0041	2.616	4.29
1	35.0	0.86	3.5922062840841456	0.9209999999999999	1.0	0.9940000000000001	2.1667	1.9509999999999998	11.79
1	32.0	0.55	2.6975062111788204	0.98	0.9999	0.99	6.3046	2.6439999999999997	4.51
1	34.0	0.55	4.243790536722087	0.9259999999999999	1.0	0.998	2.1434	1.945	7.500000000000001
1	33.0	0.0	2.0768457106947413	0.9209999999999999	0.9999	0.914	7.0275	2.7039999999999997	1.42
1	32.0	0.0	1.588446789602525	0.893	1.0	0.946	10.5071	2.931	0.5099999999999998
1	28.8	0.51	2.5862378907735635	0.905	1.0	1.0	0.1005	0.451	3.4400000000000004
1	33.0	0.07	2.4835067503956227	0.9420000000000001	0.9999	0.884	8.5596	2.825	2.59
1	33.0	0.35	2.186238572324105	0.987	1.0	0.986	4.736000000000001	2.4619999999999997	3.4600000000000013
1	25.3	0.0	0.8398193853004351	0.594	0.9882	0.698	0.2892	0.875	1.5700000000000005
